Epoch,Reward,Loss
1,-31.5,-0.9294247627258301
2,-42.0,-2.531336784362793
3,-34.0,-3.250182628631592
4,-45.0,-6.002011299133301
5,-37.5,-3.1226534843444824
6,-34.0,-1.6142628192901611
7,-31.5,-2.022864818572998
8,-40.5,6.317127227783203
9,-22.0,1.1615803241729736
10,-33.5,-9.057437896728516
11,-31.5,3.0185506343841553
12,-18.5,-10.977238655090332
13,-32.0,-3.452721118927002
14,-40.0,-10.625175476074219
15,-33.0,-9.844643592834473
16,-37.5,-6.16766357421875
17,-39.0,-7.128382682800293
18,-31.5,-10.207533836364746
19,-31.0,-6.638880252838135
20,-31.0,-0.8326488137245178
21,-32.5,-9.107486724853516
22,-30.5,-1.8218353986740112
23,-30.5,3.335026502609253
24,-31.0,-3.3670504093170166
25,-31.5,-2.664592981338501
26,-3.0,-24.3253231048584
27,-31.0,7.935243129730225
28,-1.5,-26.21231460571289
29,-1.0,-21.69112205505371
30,-1.0,-18.587011337280273
31,-1.5,-18.80437469482422
32,-30.5,7.057302474975586
33,-31.5,7.569969654083252
34,-0.5,-19.949962615966797
35,0.0,0.0
36,-30.0,-7.320558071136475
37,-30.0,1.73225998878479e-07
38,-30.0,-3.725290298461914e-08
39,0.0,0.0
40,0.0,0.0
41,-0.5,-12.310117721557617
42,-30.0,4.790490493178368e-07
43,-30.0,2.4437031242996454e-07
44,-30.0,-2.691522240638733e-07
45,-30.0,1.0011717677116394e-07
46,-30.0,-2.90211820602417
47,-30.0,-9.313225746154785e-10
48,-30.0,6.146728992462158e-08
49,0.0,0.0
50,-30.0,2.3888424038887024e-07
51,0.0,0.0
52,0.0,0.0
53,-30.0,3.152526915073395e-07
54,-30.0,6.891787052154541e-08
55,-30.0,11.696087837219238
56,-30.0,1.8370337784290314e-07
57,-30.0,-2.0209699869155884e-07
58,-30.0,7.216087818145752
59,-30.0,1.7229467630386353e-07
60,0.0,0.0
61,-30.0,9.384530130773783e-08
62,-30.0,3.958120942115784e-08
63,-30.0,-2.561137080192566e-08
64,-30.0,1.9976869225502014e-07
65,0.0,0.0
66,-30.0,1.0570511221885681e-07
67,-30.0,-10.739386558532715
68,0.0,0.0
69,-30.0,-3.119930624961853e-07
70,-30.0,-6.565824151039124e-08
71,-30.0,-1.3527460396289825e-07
72,-30.0,1.210719347000122e-07
73,-30.0,-1.234002411365509e-07
74,0.0,0.0
75,0.0,0.0
76,-30.0,-4.98257577419281e-08
77,-30.0,-8.393544703722e-08
78,-30.0,-4.7963112592697144e-08
79,-30.0,-4.889443516731262e-08
80,-30.0,-3.073364496231079e-08
81,-30.0,-7.869675755500793e-08
82,-30.0,6.756454240530729e-08
83,-30.0,-2.7939677238464355e-08
84,-30.0,-5.960464477539063e-08
85,0.0,0.0
86,-30.0,-6.705522537231445e-08
87,-30.0,3.958120942115784e-08
88,-30.0,7.235212251543999e-08
89,-30.0,-5.2852556109428406e-08
90,-30.0,-7.369089871644974e-08
91,0.0,0.0
92,-30.0,-4.470348358154297e-08
93,-30.0,1.0803341865539551e-07
94,-30.0,-1.955777406692505e-08
95,-30.0,-2.7474015951156616e-08
96,-30.0,1.2246891856193542e-07
97,-30.0,-3.3527612686157227e-08
98,0.0,0.0
99,-30.0,-10.64598560333252
100,-30.0,-1.4237593859434128e-07
101,0.0,0.0
102,-30.0,-5.098991096019745e-08
103,-30.0,1.4341683387756348
104,-30.0,4.330649971961975e-08
105,-30.0,-3.585591912269592e-08
106,-30.0,4.6566128730773926e-09
107,-30.0,1.0477378964424133e-08
108,0.0,0.0
109,-30.0,-8.66129994392395e-08
110,0.0,0.0
111,-30.0,-3.282912075519562e-08
112,-30.0,3.958120942115784e-09
113,-30.0,-9.313225746154785e-10
114,-30.0,-1.979060471057892e-08
115,-30.0,-2.9569491744041443e-08
116,-30.0,-2.0023435354232788e-08
117,-30.0,4.0046870708465576e-08
118,-30.0,3.678360371850431e-08
119,-30.0,-3.934837877750397e-08
120,-30.0,-7.532071322202682e-08
121,-30.0,5.238689482212067e-09
122,-30.0,1.8975697457790375e-08
123,-30.0,-2.468004822731018e-08
124,0.0,0.0
125,-30.0,2.4838063716888428
126,-30.0,1.3271346688270569e-08
127,0.0,0.0
128,0.0,0.0
129,-30.0,-1.6298145055770874e-08
130,-30.0,2.3923348635435104e-08
131,-30.0,-4.9476511776447296e-08
132,-30.0,-1.234002411365509e-08
133,-30.0,7.229391485452652e-08
134,-30.0,-5.634501576423645e-08
135,-30.0,1.0477378964424133e-09
136,0.0,0.0
137,0.0,0.0
138,-30.0,3.841705620288849e-09
139,-30.0,-1.6065314412117004e-08
140,0.0,0.0
141,-30.0,5.1979441195726395e-08
142,-30.0,4.502362571656704e-08
143,0.0,0.0
144,-30.0,8.149072527885437e-10
145,-30.0,-3.189779818058014e-08
146,-30.0,-2.2817403078079224e-08
147,-30.0,-1.0710209608078003e-08
