epoch,step,vehicle_id,speed_kmh,accel_ms2,prox_m,wave_m,ai_score,category
1,108,cross_2,50.37,0.281,125.54,24.082,46.76,Normal
1,108,cross_3,50.26,0.19,166.58,11.124,46.37,Normal
1,111,cross_0,46.89,-0.025,65.61,33.74,44.99,Normal
1,111,cross_1,50.14,-0.421,83.93,35.753,47.27,Normal
1,111,cross_2,50.3,-0.191,121.1,25.296,46.38,Normal
1,111,cross_3,50.26,-0.007,162.17,12.388,45.64,Normal
1,114,cross_0,46.76,-0.342,61.04,33.741,46.23,Normal
1,114,cross_1,50.22,0.202,79.14,35.938,46.41,Normal
1,114,cross_2,50.28,-0.056,116.45,26.51,45.84,Normal
1,114,cross_3,50.25,-0.012,157.58,13.648,45.66,Normal
1,117,cross_0,46.71,-0.156,56.89,33.743,45.47,Normal
1,117,cross_1,50.22,0.002,74.7,36.073,45.61,Normal
1,117,cross_2,50.24,-0.099,112.03,27.723,46.01,Normal
1,117,cross_3,50.39,0.364,153.17,14.905,47.1,Normal
1,120,cross_0,46.72,0.026,53.17,33.744,44.95,Normal
1,120,cross_1,50.28,0.158,70.62,36.164,46.25,Normal
1,120,cross_2,50.17,-0.206,107.82,28.936,46.42,Normal
1,120,cross_3,50.22,-0.461,148.94,16.157,47.45,Normal
1,120,cross_4,46.8,0.0,203.25,0.0,4.87,Conservative
1,123,cross_0,46.83,0.303,49.04,33.745,46.11,Normal
1,123,cross_1,50.37,0.266,66.18,36.219,46.7,Normal
1,123,cross_2,50.32,0.425,103.4,30.148,47.33,Normal
1,123,cross_3,50.31,0.242,144.54,17.406,46.59,Normal
1,123,cross_4,48.98,6.044,199.07,0.0,25.33,Conservative
1,126,cross_0,46.74,-0.225,45.38,33.745,46.44,Normal
1,126,cross_1,50.14,-0.628,62.13,36.246,48.1,Normal
1,126,cross_2,50.35,0.07,99.18,31.361,45.91,Normal
1,126,cross_3,50.32,0.04,140.32,18.651,45.79,Normal
1,126,cross_4,50.32,3.726,194.85,0.0,20.53,Conservative
1,129,cross_0,46.66,-0.241,41.28,33.746,48.23,Normal
1,129,cross_1,50.39,0.671,57.71,36.255,48.32,Normal
1,129,cross_2,50.38,0.093,94.76,32.573,46.01,Normal
1,129,cross_3,50.38,0.156,135.92,19.893,46.26,Normal
1,129,cross_4,50.32,0.02,190.51,4.622,45.71,Normal
1,132,cross_0,46.72,0.188,37.2,33.746,50.84,Normal
1,132,cross_1,50.36,-0.077,53.29,36.255,45.95,Normal
1,132,cross_2,50.18,-0.547,90.34,33.785,47.78,Normal
1,132,cross_3,50.33,-0.132,131.53,21.131,46.16,Normal
1,132,cross_4,50.36,0.107,186.17,5.873,46.06,Normal
1,135,cross_0,46.66,-0.186,32.63,33.747,55.24,Normal
1,135,cross_1,50.15,-0.578,48.46,36.255,47.98,Normal
1,135,cross_2,50.37,0.521,85.72,34.996,47.72,Normal
1,135,cross_3,50.28,-0.128,126.98,22.368,46.13,Normal
1,135,cross_4,50.28,-0.218,181.76,7.11,46.49,Normal
1,138,cross_0,46.81,0.414,28.05,33.747,61.94,Normal
1,138,cross_1,50.17,0.052,43.65,36.255,47.09,Normal
1,138,cross_2,50.2,-0.482,81.13,36.207,47.53,Normal
1,138,cross_3,50.27,-0.036,122.46,23.602,45.76,Normal
1,138,cross_4,50.28,-0.002,177.37,8.338,45.63,Normal
1,141,cross_0,46.67,-0.374,23.48,33.747,68.84,Normal
1,141,cross_1,50.27,0.272,38.84,36.255,50.69,Normal
1,141,cross_2,50.39,0.543,76.56,36.243,47.82,Normal
